date,close,open,high,low,highlight,annotate,type
25/09/2017,584.5,574,584.5,573,,,
26/09/2017,583.5,581.5,590,579,,,
27/09/2017,606,584,614.5,583.5,,volatile trading,curve
28/09/2017,606,605.5,607.5,597,,,
29/09/2017,612,606,614.54,603.5,,,
02/10/2017,614.5,613,617.5,610.47,begin,Threshold annotation,
03/10/2017,607,616,616,605.5,,,
04/10/2017,613.5,604.5,616,604.06,,,
05/10/2017,616,614,617.5,611.5,,,
06/10/2017,629.5,618.5,634.33,618.5,end,,
09/10/2017,631.5,626.5,632.5,626.5,,,
10/10/2017,619.5,629.5,631.5,618.5,,,
11/10/2017,616.5,620,627.5,613.5,,,
12/10/2017,622,614.5,625.5,613.5,,,
13/10/2017,634,622.5,640,621.5,,,
16/10/2017,621.5,634,637.5,619.5,,,
17/10/2017,667,658,680.5,644.5,,,
18/10/2017,687,670.5,691,662,,all time high,curve