date,Ducks,Llamas,highlight,annotate
05/04/2007,562,850,,
12/04/2007,,846,,
19/04/2007,,856,,
26/04/2007,,863.5,,
03/05/2007,,875.5,,
10/05/2007,,875.5,,
17/05/2007,,901.5,,
24/05/2007,,882,,
31/05/2007,,898,,
07/06/2007,,851.5,,
14/06/2007,,863,,
21/06/2007,,824.5,,
28/06/2007,,835,,
05/07/2007,,827.5,,
12/07/2007,,825.5,,
19/07/2007,,824.5,,
26/07/2007,,769.5,,
02/08/2007,,797,,
09/08/2007,,774,,
16/08/2007,,737,,
23/08/2007,,747,,
30/08/2007,,746.5,,
06/09/2007,,744,,
13/09/2007,,747.5,,
20/09/2007,,759.5,,
27/09/2007,,754.5,,
04/10/2007,,751.5,,
11/10/2007,,791,,
18/10/2007,,766,,
25/10/2007,,784,,
01/11/2007,,790.5,,
08/11/2007,,753.5,,
15/11/2007,,738.5,,
22/11/2007,,714,,
29/11/2007,,749.5,,
06/12/2007,,735,,
13/12/2007,,704,,
20/12/2007,,711.5,,
27/12/2007,,742.5,,
03/01/2008,,720,,
10/01/2008,,672,,
17/01/2008,,649,,
24/01/2008,,669,,
31/01/2008,,690.5,,
07/02/2008,,641,,
14/02/2008,,674,,
21/02/2008,,681,,
28/02/2008,,680,,
06/03/2008,,688.5,,
13/03/2008,,678,,
20/03/2008,,682,,
27/03/2008,,684,,
03/04/2008,548,698,,
10/04/2008,,668.5,,
17/04/2008,,652.5,,
24/04/2008,,665.5,,
01/05/2008,,660.5,,
08/05/2008,,698.5,,
15/05/2008,,688,,
22/05/2008,,672,,
29/05/2008,,666,,
05/06/2008,,680,,
12/06/2008,,648.5,,
19/06/2008,,633.5,,
26/06/2008,,610.5,,
03/07/2008,,597.5,,
10/07/2008,,611.5,,
17/07/2008,,606,,
24/07/2008,,595.5,,
31/07/2008,,650.5,,
07/08/2008,,649.5,,
14/08/2008,,668.5,,
21/08/2008,,643.5,,
28/08/2008,,677.5,,
04/09/2008,,675,,
11/09/2008,,674.5,,
18/09/2008,,594,,
25/09/2008,,605,,
02/10/2008,,624.5,,
09/10/2008,,543.5,,
16/10/2008,,533.5,,
23/10/2008,,602.5,,
30/10/2008,,595,,
06/11/2008,,596.5,,
13/11/2008,,582,,
20/11/2008,,587,,
27/11/2008,,602.5,,
04/12/2008,,624.5,,
11/12/2008,,632,,
18/12/2008,,650.5,,
25/12/2008,,643,,
01/01/2009,,641,,
08/01/2009,,612,,
15/01/2009,,588.5,,
22/01/2009,,643,,
29/01/2009,,668.5,,
05/02/2009,,672,,
12/02/2009,,655.5,,
19/02/2009,,641,,
26/02/2009,,654.5,,
05/03/2009,,654.5,,
12/03/2009,,680.5,,
19/03/2009,,693.5,,
26/03/2009,,697,,
02/04/2009,481.25,732.5,,
09/04/2009,,687.5,,
16/04/2009,,670,,
23/04/2009,,674,,
30/04/2009,,706.5,,
07/05/2009,,719,,
14/05/2009,,693,,
21/05/2009,,671,,
28/05/2009,,666.5,,
04/06/2009,,631.5,,
11/06/2009,,617,,
18/06/2009,,604,,
25/06/2009,,614.5,,
02/07/2009,,585.5,,
09/07/2009,,586.5,,
16/07/2009,,611.5,,
23/07/2009,,623,,
30/07/2009,,684.5,,
06/08/2009,,704.5,,
13/08/2009,,721,,
20/08/2009,,722.5,,
27/08/2009,,745,,
03/09/2009,,735,,
10/09/2009,,744,,
17/09/2009,,754.5,,
24/09/2009,,759,,
01/10/2009,,767.5,,
08/10/2009,,786,,
15/10/2009,,808,,
22/10/2009,,831,,
29/10/2009,,841,,
05/11/2009,,843,,
12/11/2009,,845.5,,
19/11/2009,,837,,
26/11/2009,,825,,
03/12/2009,,848,,
10/12/2009,,862,,
17/12/2009,,863.5,,
24/12/2009,,878,,
31/12/2009,,891,,
07/01/2010,,869.5,,
14/01/2010,,887.5,,
21/01/2010,,891.5,,
28/01/2010,,874.5,,
04/02/2010,,870.5,,
11/02/2010,,865,,
18/02/2010,,875.5,,
25/02/2010,,898.5,,
04/03/2010,,974,,
11/03/2010,,994,,
18/03/2010,,1003,,
25/03/2010,,1036,,
01/04/2010,600,1044,,
08/04/2010,,997.5,,
15/04/2010,,1010,,
22/04/2010,,1019,,
29/04/2010,,1050,,
06/05/2010,,979,,
13/05/2010,,1001,,
20/05/2010,,943,,
27/05/2010,,948,,
03/06/2010,,958.5,,
10/06/2010,,938,,
17/06/2010,,956.5,,
24/06/2010,,927,,
01/07/2010,,864,,
08/07/2010,,907,,
15/07/2010,,936.5,,
22/07/2010,,962,,
29/07/2010,,1012,,
05/08/2010,,1020,,
12/08/2010,,983.5,,
19/08/2010,,952,,
26/08/2010,,948.5,,
02/09/2010,,996.5,,
09/09/2010,,1010,,
16/09/2010,,1011,,
23/09/2010,,994.5,,
30/09/2010,,985.5,,
07/10/2010,,991.5,,
14/10/2010,,991,,
21/10/2010,,986,,
28/10/2010,,954.5,,
04/11/2010,,973.5,,
11/11/2010,,957,,
18/11/2010,,937.5,,
25/11/2010,,954.5,,
02/12/2010,,982,,
09/12/2010,,1014,,
16/12/2010,,1024,,
23/12/2010,,1027,,
30/12/2010,,1015,,
06/01/2011,,1013,,
13/01/2011,,1010,,
20/01/2011,,1039,,
27/01/2011,,1049,,
03/02/2011,,1040,,
10/02/2011,,1060,,
17/02/2011,,1048,,
24/02/2011,,1013,,
03/03/2011,,1054,,
10/03/2011,,1105,,
17/03/2011,,1054,,
24/03/2011,,1077,,
31/03/2011,,1101,,
07/04/2011,839,1098,,
14/04/2011,,1106,,
21/04/2011,,1131,,
28/04/2011,,1151,,
05/05/2011,,1125,,
12/05/2011,,1160,,
19/05/2011,,1158,,
26/05/2011,,1121,,
02/06/2011,,1135,,
09/06/2011,,1161,,
16/06/2011,,1146,,
23/06/2011,,1133,,
30/06/2011,,1176,,
07/07/2011,,1202,,
14/07/2011,,1156,,
21/07/2011,,1155,,
28/07/2011,,1139,,
04/08/2011,,1119,,
11/08/2011,,1077,,
18/08/2011,,1038,,
25/08/2011,,1063,,
01/09/2011,,1122,,
08/09/2011,,1097,,
15/09/2011,,1110,,
22/09/2011,,1116,,
29/09/2011,,1144,,
06/10/2011,,1156,,
13/10/2011,,1162,,
20/10/2011,,1135,,
27/10/2011,,1185,,
03/11/2011,,1148,,
10/11/2011,,1119,,
17/11/2011,,1102,,
24/11/2011,,1069,,
01/12/2011,,1135,,
08/12/2011,,1133,,
15/12/2011,,1134,,
22/12/2011,,1191,,
29/12/2011,,1222,,
05/01/2012,,1212,,
12/01/2012,,1222,,
19/01/2012,,1230,,
26/01/2012,,1177,,
02/02/2012,,1196,,
09/02/2012,,1202,,
16/02/2012,,1221,,
23/02/2012,,1233,,
01/03/2012,,1211,,
08/03/2012,,1209,,
15/03/2012,,1210,,
22/03/2012,,1205,,
29/03/2012,,1170,,
05/04/2012,704,1135,,
12/04/2012,,1134,,
19/04/2012,,1113,,
26/04/2012,,1150,,
03/05/2012,,1166,,
10/05/2012,,1163,,
17/05/2012,,1143,,
24/05/2012,,1137,,
31/05/2012,,1137,,
07/06/2012,,1148,,
14/06/2012,,1184,,
21/06/2012,,1210,,
28/06/2012,,1243,,
05/07/2012,,1250,,
12/07/2012,,1249,,
19/07/2012,,1290,,
26/07/2012,,1294,,
02/08/2012,,1223,,
09/08/2012,,1235,,
16/08/2012,,1212,,
23/08/2012,,1212,,
30/08/2012,,1201,,
06/09/2012,,1202,,
13/09/2012,,1179,,
20/09/2012,,1182,,
27/09/2012,,1217,,
04/10/2012,,1252,,
11/10/2012,,1248,,
18/10/2012,,1215,,
25/10/2012,,1212,,
01/11/2012,,1252,,
08/11/2012,,1230,,
15/11/2012,,1189,,
22/11/2012,,1175,,
29/11/2012,,1175,,
06/12/2012,,1190,,
13/12/2012,,1184,,
20/12/2012,,1200,,
27/12/2012,,1196,,
03/01/2013,,1211,,
10/01/2013,,1193,,
17/01/2013,,1232,,
24/01/2013,,1187,,
31/01/2013,,1194,,
07/02/2013,,1203,,
14/02/2013,,1207,,
21/02/2013,,1222,,
28/02/2013,,1155,,
07/03/2013,,1165,,
14/03/2013,,1204,,
21/03/2013,,1172,,
28/03/2013,,1184,,
04/04/2013,851,1142,,
11/04/2013,,1155,,
18/04/2013,,1119,,
25/04/2013,,1149,,
02/05/2013,,1169,,
09/05/2013,,1186,,
16/05/2013,,1204,,
23/05/2013,,1217,,
30/05/2013,,1238,,
06/06/2013,,1177,,
13/06/2013,,1179,,
20/06/2013,,1162,,
27/06/2013,,1154,,
04/07/2013,,1206,,
11/07/2013,,1242,,
18/07/2013,,1264,,
25/07/2013,,1252,,
01/08/2013,,1344,,
08/08/2013,,1324,,
15/08/2013,,1313,,
22/08/2013,,1325,,
29/08/2013,,1280,,
05/09/2013,,1285,,
12/09/2013,,1275,,
19/09/2013,,1286,,
26/09/2013,,1253,,
03/10/2013,,1226,,
10/10/2013,,1297,,
17/10/2013,,1317,,
24/10/2013,,1355,,
31/10/2013,,1304,,
07/11/2013,,1293,,
14/11/2013,,1325,,
21/11/2013,,1342,,
28/11/2013,,1352,,
05/12/2013,,1287,,
12/12/2013,,1271,,
19/12/2013,,1300,,
26/12/2013,,1326,,
02/01/2014,,1340,,
09/01/2014,,1305,,
16/01/2014,,1291,,
23/01/2014,,1191,,
30/01/2014,,1115,,
06/02/2014,,1086,,
13/02/2014,,1115,,
20/02/2014,,1110,,
27/02/2014,,1076,,
06/03/2014,,1033,,
13/03/2014,,998.5,,
20/03/2014,,999.5,,
27/03/2014,,1026,,
03/04/2014,,1008,,
10/04/2014,900.5,1041,,
17/04/2014,,1062,,
24/04/2014,,1050,,
01/05/2014,,1102,,
08/05/2014,,1118,,
15/05/2014,,1150,,
22/05/2014,,1144,,
29/05/2014,,1164,,
05/06/2014,,1148,,
12/06/2014,,1129,,
19/06/2014,,1123,,
26/06/2014,,1144,,
03/07/2014,,1143,,
10/07/2014,,1092,,
17/07/2014,,1109,,
24/07/2014,,1101,,
31/07/2014,,1141,,
07/08/2014,,1119,,
14/08/2014,,1120,,
21/08/2014,,1125,,
28/08/2014,,1111,,
04/09/2014,,1109,,
11/09/2014,,1154,,
18/09/2014,,1218,,
25/09/2014,,1230,,
02/10/2014,,1204,,
09/10/2014,,1173,,
16/10/2014,,1132,,
23/10/2014,,1169,,
30/10/2014,,1160,,
06/11/2014,,1186,,
13/11/2014,,1201,,
20/11/2014,,1220,,
27/11/2014,,1224,,
04/12/2014,,1212,,
11/12/2014,,1170,,
18/12/2014,,1190,,
25/12/2014,,1179,,
01/01/2015,,,begin,trading suspended
08/01/2015,,,,
15/01/2015,,,,
22/01/2015,,,,
29/01/2015,,,,
05/02/2015,,,,
12/02/2015,,,,
19/02/2015,,,,
26/02/2015,,,,
05/03/2015,,,,
12/03/2015,,,,
19/03/2015,,,,
26/03/2015,,,,
02/04/2015,1067,,,
09/04/2015,,,,
16/04/2015,,,,
23/04/2015,,,,
30/04/2015,,,,
07/05/2015,,,,
14/05/2015,,,,
21/05/2015,,,,
28/05/2015,,,,
04/06/2015,,,,
11/06/2015,,,,
18/06/2015,,,,
25/06/2015,,,,
02/07/2015,,,,
09/07/2015,,,,
16/07/2015,,,,
23/07/2015,,,,
30/07/2015,,,,
06/08/2015,,,,
13/08/2015,,,,
20/08/2015,,,,
27/08/2015,,,,
03/09/2015,,,,
10/09/2015,,,,
17/09/2015,,,,
24/09/2015,,,,
01/10/2015,,,,
08/10/2015,,,,
15/10/2015,,,,
22/10/2015,,,,
29/10/2015,,,,
05/11/2015,,,,
12/11/2015,,,,
19/11/2015,,,,
26/11/2015,,,,
03/12/2015,,,,
10/12/2015,,,,
17/12/2015,,,,
24/12/2015,,,,
31/12/2015,,,end,
07/01/2016,,699,,
14/01/2016,,719.5,,
21/01/2016,,772,,
28/01/2016,,777,,
04/02/2016,,780.5,,
11/02/2016,,719.5,,
18/02/2016,,796.5,,
25/02/2016,,801.5,,
03/03/2016,,857,,
10/03/2016,,850,,
17/03/2016,,896.5,,
24/03/2016,,883,,
31/03/2016,,875,,
07/04/2016,933.5,825,,
14/04/2016,,835.5,,
21/04/2016,,834.5,,
28/04/2016,,814.5,,
05/05/2016,,805,,
12/05/2016,,806,,
19/05/2016,,802.5,,
26/05/2016,,825.5,,
02/06/2016,,849.5,,
09/06/2016,,818.5,,
16/06/2016,,807.5,,
23/06/2016,,888,,
30/06/2016,,967,,
07/07/2016,,948,,
14/07/2016,,953.5,,
21/07/2016,,963,,
28/07/2016,,970,,
04/08/2016,,893.5,,
11/08/2016,,890,,
18/08/2016,,863,,
25/08/2016,,862,,
01/09/2016,,858.5,,
08/09/2016,,797,,
15/09/2016,,780,,
22/09/2016,,774,,
29/09/2016,,749.5,,
06/10/2016,,794,,
13/10/2016,,814,,
20/10/2016,,765.5,,
27/10/2016,,743,,
03/11/2016,,736,,
10/11/2016,,749.5,,
17/11/2016,,760.5,,
24/11/2016,,783.5,,
01/12/2016,,782.5,,
08/12/2016,,780.5,,
15/12/2016,,815,,
22/12/2016,,819,,
29/12/2016,,818.5,,
05/01/2017,,812.5,,
12/01/2017,,813,,
19/01/2017,,588.5,,
26/01/2017,,622,,
02/02/2017,,643,,
09/02/2017,,660,,
16/02/2017,,660,,
23/02/2017,,646,,
02/03/2017,,687.5,,
09/03/2017,,678,,
16/03/2017,,659,,
23/03/2017,,635,,
30/03/2017,,668,,
06/04/2017,962,637,,
