date,Volume (m)
23/03/2021 13:45,64175803
23/03/2021 14:00,24206631
23/03/2021 14:15,15751240
23/03/2021 14:30,20851495
23/03/2021 14:45,25835225
23/03/2021 15:00,22490601
23/03/2021 15:15,7261530
23/03/2021 15:30,13727829
23/03/2021 15:45,9192764
23/03/2021 16:00,7293564
23/03/2021 16:15,10450862
23/03/2021 16:30,6678944
23/03/2021 16:45,7677830
23/03/2021 17:00,7111338
23/03/2021 17:15,4312905
23/03/2021 17:30,7719260
23/03/2021 17:45,8535053
23/03/2021 18:00,3533013
23/03/2021 18:15,4120646
23/03/2021 18:30,3860267
23/03/2021 18:45,9426786
23/03/2021 19:00,6485118
23/03/2021 19:15,12885309
23/03/2021 19:30,9322074
23/03/2021 19:45,8172944
23/03/2021 20:00,34889323
24/03/2021 13:45,38615944
24/03/2021 14:00,21918531
24/03/2021 14:15,27169826
24/03/2021 14:30,8352820
24/03/2021 14:45,8324164
24/03/2021 15:00,7030096
24/03/2021 15:15,2550455
24/03/2021 15:30,3538350
24/03/2021 15:45,4963548
24/03/2021 16:00,5857954
24/03/2021 16:15,5522822
24/03/2021 16:30,8929986
24/03/2021 16:45,5961876
24/03/2021 17:00,6120327
24/03/2021 17:15,3811923
24/03/2021 17:30,5714520
24/03/2021 17:45,6630472
24/03/2021 18:00,32432498
24/03/2021 18:15,7744098
24/03/2021 18:30,5576328
24/03/2021 18:45,4540749
24/03/2021 19:00,8114739
24/03/2021 19:15,9196637
24/03/2021 19:30,27701442
24/03/2021 19:45,14409288
24/03/2021 20:00,27511854
24/03/2021 20:02,197500
25/03/2021 13:45,86149484
25/03/2021 14:00,43845654
25/03/2021 14:15,17220309
25/03/2021 14:30,13835185
25/03/2021 14:45,15796120
25/03/2021 15:00,36832251
25/03/2021 15:15,38271336
25/03/2021 15:30,11577108
25/03/2021 15:45,4734852
25/03/2021 16:00,6852138
25/03/2021 16:15,5451531
25/03/2021 16:30,4820822
25/03/2021 16:45,4044065
25/03/2021 17:00,4082118
25/03/2021 17:15,9555632
25/03/2021 17:30,3771463
25/03/2021 17:45,4833374
25/03/2021 18:00,5645151
25/03/2021 18:15,4271583
25/03/2021 18:30,5179008
25/03/2021 18:45,6219586
25/03/2021 19:00,13637269
25/03/2021 19:15,27254226
25/03/2021 19:30,11808666
25/03/2021 19:45,37766958
25/03/2021 20:00,39895776
25/03/2021 20:02,164087
26/03/2021 13:45,129508308
26/03/2021 14:00,30826957
26/03/2021 14:15,21222038
26/03/2021 14:30,21137968
26/03/2021 14:45,18039662
26/03/2021 15:00,24100420
26/03/2021 15:15,15473825
26/03/2021 15:30,17841912
26/03/2021 15:45,10595604
26/03/2021 16:00,33352478
26/03/2021 16:15,19860678
26/03/2021 16:30,10744503
26/03/2021 16:45,14388153
26/03/2021 17:00,9036943
26/03/2021 17:15,10684664
26/03/2021 17:30,20902556
26/03/2021 17:45,5776321
26/03/2021 18:00,7389357
26/03/2021 18:15,7626390
26/03/2021 18:30,8065446
26/03/2021 18:45,14428806
26/03/2021 19:00,6276432
26/03/2021 19:15,7471903
26/03/2021 19:30,7506746
26/03/2021 19:45,13175807
26/03/2021 20:00,28510641
26/03/2021 20:02,838001
29/03/2021 13:45,158166092
29/03/2021 14:00,36370997
29/03/2021 14:15,40001138
29/03/2021 14:30,20562021
29/03/2021 14:45,19031709
29/03/2021 15:00,14395193
29/03/2021 15:15,9488978
29/03/2021 15:30,13479149
29/03/2021 15:45,10933011
29/03/2021 16:00,7514159
29/03/2021 16:15,9259149
29/03/2021 16:30,9857261
29/03/2021 16:45,6856760
29/03/2021 17:00,7309792
29/03/2021 17:15,17609630
29/03/2021 17:30,17221303
29/03/2021 17:45,16630357
29/03/2021 18:00,10735406
29/03/2021 18:15,21442013
29/03/2021 18:30,15031971
29/03/2021 18:45,12843345
29/03/2021 19:00,22884717
29/03/2021 19:15,15284941
29/03/2021 19:30,14658384
29/03/2021 19:45,12028197
29/03/2021 20:00,23685718
29/03/2021 20:02,39000
30/03/2021 13:45,67427840
30/03/2021 14:00,35815816
30/03/2021 14:15,21527235
30/03/2021 14:30,26533613
30/03/2021 14:45,24573755
30/03/2021 15:00,38442791
30/03/2021 15:15,38683687
30/03/2021 15:30,31054062
30/03/2021 15:45,21511761
30/03/2021 16:00,31033732
30/03/2021 16:15,36216903
30/03/2021 16:30,20415207
30/03/2021 16:45,27920927
30/03/2021 17:00,44792576
30/03/2021 17:15,53103562
30/03/2021 17:30,31212198
30/03/2021 17:45,31694490
30/03/2021 18:00,22846727
30/03/2021 18:15,25299084
30/03/2021 18:30,12307795
30/03/2021 18:45,10443253
30/03/2021 19:00,16107799
30/03/2021 19:15,23774124
30/03/2021 19:30,42420097
30/03/2021 19:45,31375581
30/03/2021 20:00,41935218
30/03/2021 20:02,786097
31/03/2021 13:45,154128153
31/03/2021 14:00,89667128
31/03/2021 14:15,81910886
31/03/2021 14:30,40328782
31/03/2021 14:45,62567880
31/03/2021 15:00,27674958
31/03/2021 15:15,21851379
31/03/2021 15:30,16942914
31/03/2021 15:45,15901783
31/03/2021 16:00,20533400
31/03/2021 16:15,18916184
31/03/2021 16:30,19739781
31/03/2021 16:45,17605963
31/03/2021 17:00,30794088
31/03/2021 17:15,35018217
31/03/2021 17:30,23313145
31/03/2021 17:45,36749462
31/03/2021 18:00,29520259
31/03/2021 18:15,53164510
31/03/2021 18:30,28199680
31/03/2021 18:45,28034319
31/03/2021 19:00,31920034
31/03/2021 19:15,26515046
31/03/2021 19:30,33436261
31/03/2021 19:45,36351472
31/03/2021 20:00,51633324
31/03/2021 20:02,857997
01/04/2021 13:45,238503620
01/04/2021 14:00,68971135
01/04/2021 14:15,100015420
01/04/2021 14:30,74733816
01/04/2021 14:45,79206393
01/04/2021 15:00,49464891
01/04/2021 15:15,39380570
01/04/2021 15:30,31768997
01/04/2021 15:45,22062183
01/04/2021 16:00,20816489
01/04/2021 16:15,28729567
01/04/2021 16:30,33590604
01/04/2021 16:45,26364358
01/04/2021 17:00,17835602
01/04/2021 17:15,19834539
01/04/2021 17:30,27122322
01/04/2021 17:45,51262443
01/04/2021 18:00,39760638
01/04/2021 18:15,43344460
01/04/2021 18:30,25541613
01/04/2021 18:45,23666650
01/04/2021 19:00,50820364
01/04/2021 19:15,17042837
01/04/2021 19:30,17483611
01/04/2021 19:45,39912517
01/04/2021 20:00,49214318
01/04/2021 20:02,49000
05/04/2021 13:45,174391425
05/04/2021 14:00,81165816
05/04/2021 14:15,63204550
05/04/2021 14:30,40834983
05/04/2021 14:45,25524199
05/04/2021 15:00,24880982
05/04/2021 15:15,15520918
05/04/2021 15:30,36241785
05/04/2021 15:45,34777941
05/04/2021 16:00,33816092
05/04/2021 16:15,32575768
05/04/2021 16:30,24341228
05/04/2021 16:45,14018627
05/04/2021 17:00,41970645
05/04/2021 17:15,21282074
05/04/2021 17:30,14368240
05/04/2021 17:45,11789321
05/04/2021 18:00,13372250
05/04/2021 18:15,14790036
05/04/2021 18:30,14885681
05/04/2021 18:45,12151828
05/04/2021 19:00,16450894
05/04/2021 19:15,26680590
05/04/2021 19:30,22059905
05/04/2021 19:45,17998714
05/04/2021 20:00,31600237
05/04/2021 20:02,640813
06/04/2021 13:45,763611566
06/04/2021 14:00,288970300
06/04/2021 14:15,172814106
06/04/2021 14:30,164574732
06/04/2021 14:45,90598206
06/04/2021 15:00,124770830
06/04/2021 15:15,124537373
06/04/2021 15:30,127035522
06/04/2021 15:45,73162156
06/04/2021 16:00,52273451
06/04/2021 16:15,79141893
06/04/2021 16:30,47871247
06/04/2021 16:45,70675710
06/04/2021 17:00,47469418
06/04/2021 17:15,41734529
06/04/2021 17:30,31857206
06/04/2021 17:45,17042887
06/04/2021 18:00,14397570
06/04/2021 18:15,23586842
06/04/2021 18:30,23534021
06/04/2021 18:45,26927003
06/04/2021 19:00,39788009
06/04/2021 19:15,34313830
06/04/2021 19:30,26090618
06/04/2021 19:45,22109546
06/04/2021 20:00,40507550
06/04/2021 20:02,158800
07/04/2021 13:45,257959482
07/04/2021 14:00,99028973
07/04/2021 14:15,53010299
07/04/2021 14:30,42569873
07/04/2021 14:45,36660830
07/04/2021 15:00,47048596
07/04/2021 15:15,35209541
07/04/2021 15:30,34184494
07/04/2021 15:45,20488093
07/04/2021 16:00,20178647
07/04/2021 16:15,14625747
07/04/2021 16:30,6967941
07/04/2021 16:45,11248591
07/04/2021 17:00,10846394
07/04/2021 17:15,4585458
07/04/2021 17:30,7752470
07/04/2021 17:45,10708980
07/04/2021 18:00,12472252
07/04/2021 18:15,44028145
07/04/2021 18:30,26318501
07/04/2021 18:45,26790118
07/04/2021 19:00,13084877
07/04/2021 19:15,12586474
07/04/2021 19:30,28372393
07/04/2021 19:45,18976241
07/04/2021 20:00,30633110
07/04/2021 20:02,757834
08/04/2021 13:45,93579578
08/04/2021 14:00,37382036
08/04/2021 14:15,23085864
08/04/2021 14:30,15778150
08/04/2021 14:45,18012849
08/04/2021 15:00,26546215
08/04/2021 15:15,14434393
08/04/2021 15:30,36865154