date,group,rig,output,label,annotation
01/03/2000,oil,154,5.85133,yes,Startr Jan 2008
01/06/2000,oil,197,5.84133,,
01/09/2000,oil,204,5.762,,
01/12/2000,oil,229,5.83233,,
01/03/2001,oil,241,5.81967,,
01/06/2001,oil,234,5.81933,,
01/09/2001,oil,219,5.72767,,
01/12/2001,oil,173,5.838,,
01/03/2002,oil,143,5.88,,
01/06/2002,oil,136,5.87767,,
01/09/2002,oil,126,5.65267,,
01/12/2002,oil,141,5.568,,
01/03/2003,oil,152,5.78033,,
01/06/2003,oil,168,5.68267,,
01/09/2003,oil,154,5.56033,,
01/12/2003,oil,156,5.57733,,
01/03/2004,oil,154,5.59133,,
01/06/2004,oil,158,5.50767,,
01/09/2004,oil,169,5.29667,,
01/12/2004,oil,178,5.36767,,
01/03/2005,oil,185,5.516,,
01/06/2005,oil,155,5.53367,,
01/09/2005,oil,195,4.88833,,
01/12/2005,oil,239,4.8,,
01/03/2006,oil,232,5.03567,,
01/06/2006,oil,268,5.132,,
01/09/2006,oil,306,5.055,,
01/12/2006,oil,286,5.11933,,
01/03/2007,oil,272,5.115,,
01/06/2007,oil,283,5.15533,,
01/09/2007,oil,298,4.97,,
01/12/2007,oil,333,5.05567,,
01/03/2008,oil,332,5.14933,,
01/06/2008,oil,372,5.151,,
01/09/2008,oil,398,4.71433,,
01/12/2008,oil,413,4.97167,,
01/03/2009,oil,275,5.19433,yes,Mar-09
01/06/2009,oil,198,5.30433,,
01/09/2009,oil,272,5.449,,
01/12/2009,oil,358,5.44367,,
01/03/2010,oil,449,5.47967,yes,Mar-10
01/06/2010,oil,538,5.38333,,
01/09/2010,oil,634,5.44867,,
01/12/2010,oil,725,5.59167,,
01/03/2011,oil,808,5.49333,yes,Mar-11
01/06/2011,oil,941,5.57433,,
01/09/2011,oil,1044,5.54233,,
01/12/2011,oil,1126,5.95467,,
01/03/2012,oil,1259,6.223,yes,Mar-12
01/06/2012,oil,1370,6.29667,,
01/09/2012,oil,1417,6.44567,,
01/12/2012,oil,1383,7.01733,,
01/03/2013,oil,1330,7.137,yes,Mar-13
01/06/2013,oil,1395,7.308,,
01/09/2013,oil,1383,7.57933,,
01/12/2013,oil,1382,7.835,,
01/03/2014,oil,1431,8.13,yes,Mar-14
01/06/2014,oil,1530,8.633,,
01/09/2014,oil,1577,8.90567,,
01/12/2014,oil,1568,9.33067,,
01/03/2015,oil,1090,9.48533,yes,Mar-15
01/06/2015,oil,682,9.461,,
01/09/2015,oil,657,9.39933,,
01/12/2015,oil,567,9.29167,,
01/03/2016,oil,443,9.14233,yes,Mar-16
01/06/2016,oil,333,8.82267,,
01/09/2016,oil,391,8.65033,,
01/12/2016,oil,468,8.81267,,
01/03/2017,oil,590,8.99233,yes,Mar-17
01/06/2017,oil,715,9.09833,,
01/09/2017,oil,760,9.29533,,
01/12/2017,oil,740,9.846,yes,End Dec 17